id,section,topic,difficulty,template,hasVisual,visualType,visualDetail,answerIndex,correctChoice,fingerprint
9dc7ae3ff2,reading,Vocabulary in Context,hard,manual,no,,,2,mental calmness,reading::Vocabulary in Context::hard::'her equanimity impressed everyone.' equanimity means:::panic|indifference|mental calmness|confusion::{}
8c13191143,reading,Evidence,easy,manual,no,,,1,"Survey of 5,000 teens","reading::Evidence::easy::best evidence 'most teens prefer streaming to cable'?::quote from one teen|survey of 5,000 teens|cable press release|parent anecdote::{}"
bf43912732,reading,Evidence,medium,manual,no,,,2,Randomized controlled trial,reading::Evidence::medium::strongest study design to prove exercise x reduces stress?::interview 5 people|observe one class|randomized controlled trial|reading articles::{}
d0b304d0de,reading,Evidence,medium,manual,yes,table,,2,"As screen time increases, GPA consistently decreases","reading::Evidence::medium::which data supports 'screen time harms academic performance'?::4+ hrs students sleep 6.5h|<1hr students have 3.7 gpa|as screen time increases, gpa consistently decreases|screen time affects sleep more than gpa::{}"
cb2a42537e,reading,Evidence,medium,manual,no,,,2,Non-users show no significant anxiety difference,reading::Evidence::medium::which weakens 'social media increases teen anxiety'?::more screen time correlates with anxiety|teens report stress|non-users show no significant anxiety difference|anxiety rose with social media::{}
e518a70d6d,reading,Evidence,hard,manual,no,,,2,objectivity/bias,reading::Evidence::hard::author argues drug is effective. critic notes it was funded by manufacturer. this questions the study's:::sample size|statistical methods|objectivity/bias|peer review::{}
57716355cd,reading,Grammar,easy,manual,no,,,1,Each of the students has a textbook.,reading::Grammar::easy::which is grammatically correct?::each of the students have a textbook.|each of the students has a textbook.|each students has.|each of student have.::{}
19b7635785,reading,Grammar,easy,manual,no,,,1,He and I went.,reading::Grammar::easy::correct sentence:::him and i went.|he and i went.|him and me went.|he and me went.::{}
f044934ae4,reading,Grammar,medium,manual,no,,,1,She studied hard; she passed.,reading::Grammar::medium::correct semicolon use?::i like cats; and dogs.|she studied hard; she passed.|he ran fast; but lost.|they won; the game.::{}
f22a8eed5b,reading,Grammar,medium,manual,no,,,0,is,reading::Grammar::medium::'the team ___ playing well.'::is|are|were|have been::{}
b364d90c8d,reading,Grammar,hard,manual,no,,,1,"Running, she got soaked by the rain.","reading::Grammar::hard::which avoids a dangling modifier?::running, the rain soaked her.|running, she got soaked by the rain.|having run, the rain was heavy.|to run, the rain started.::{}"
7522636ecd,reading,Grammar,hard,manual,no,,,0,The dogs' bone was buried.,reading::Grammar::hard::correct apostrophe:::the dogs' bone was buried.|the dog's' bone.|the dogs bone.|the dogs's bone.::{}
25b0dc4c46,reading,Rhetorical Skills,easy,manual,no,,,2,persuade readers to act,reading::Rhetorical Skills::easy::author ends essay urging readers to vote. primarily meant to:::entertain|inform|persuade readers to act|describe a process::{}
0134065464,reading,Rhetorical Skills,medium,manual,no,,,2,prompt reader to agree,reading::Rhetorical Skills::medium::'can we afford to ignore climate change?' purpose:::request info|admit uncertainty|prompt reader to agree|introduce counterargument::{}
4ac6a2efaf,reading,Rhetorical Skills,medium,manual,yes,chart,line,1,Policy A steadily gained support since 2018,reading::Rhetorical Skills::medium::which claim is best supported by this data?::support remained stable|policy a steadily gained support since 2018|policy a lost support after 2020|both equally popular::{}
007c069cb5,reading,Rhetorical Skills,medium,manual,no,,,1,a simile,"reading::Rhetorical Skills::medium::'like a ship without a compass, the company drifted.' this is:::alliteration|a simile|hyperbole|personification::{}"
a11fdd69c0,reading,Rhetorical Skills,hard,manual,no,,,1,concession and rebuttal,reading::Rhetorical Skills::hard::author refutes counterargument before thesis. this is called:::anaphora|concession and rebuttal|appeal to authority|circular reasoning::{}
92097dbb14,reading,Rhetorical Skills,hard,manual,no,,,1,anaphora — building emphasis,reading::Rhetorical Skills::hard::repeating a phrase at the start of consecutive sentences is:::creates ambiguity|anaphora — building emphasis|an ad hominem attack|weakens argument::{}
